Category,Metric,Institutional Goal,Actual,Status
Return Quality,Sharpe Ratio,>2.0,0.82,Fail
Return Quality,Sortino Ratio,>3.0,2.63,Borderline
Return Quality,Calmar Ratio,>3.0,0.62,Fail
Return Quality,CAGR %,>30%,40.42%,Pass
Return Quality,Return / MaxDD,>3x,0.62,Fail
Return Quality,Gross Return %,info,129.74%,N/A
Return Quality,Net Return %,info,102.54%,N/A
Return Quality,CAGR / Total Return (×),info,0.39,N/A
Return Quality,Equity Multiplier (×),info,2.03,N/A
Return Quality,Doubling Periods,info,1.02,N/A
Return Quality,Volatility Drag Ann %,info,66.01,N/A
Return Quality,FA-WF Mean OOS Sharpe,>1.5,7.71,Pass
Return Quality,FA-WF Median OOS Sharpe,>1.0,7.71,Pass
Return Quality,Min OOS Fold Sharpe,>0.5,7.71,Pass
Return Quality,Avg Monthly Return %,>0%,6.77%,Pass
Return Quality,Worst Monthly Return %,>-20%,-45.14%,Fail
Robustness & Validation,FA Walk-Forward CV,<0.25,N/A,N/A
Robustness & Validation,Sharpe Std Dev (WF folds),<1.0,N/A,N/A
Robustness & Validation,FA-WF % Folds Positive,>80%,100.00%,Pass
Robustness & Validation,FA-WF Unstable Folds,0,0,Pass
Robustness & Validation,FA-WF Mean DSR %,>80%,100.00%,Pass
Robustness & Validation,Deflated Sharpe (DSR) %,>95%,48.48%,Fail
Robustness & Validation,PBO %,<30%,0.16,Pass
Robustness & Validation,Performance Degradation,<0.3,0.004,Pass
Robustness & Validation,IS/OOS CAGR Ratio,>0.5,-5.749,Fail
Robustness & Validation,Sharpe Decay IS→OOS %,<40%,2585.87,Fail
Risk Profile,Max Drawdown %,>-30%,-65.30%,Fail
Risk Profile,Avg Drawdown %,>-15%,-27.35%,Fail
Risk Profile,Avg DD Recovery (days),<90d,67d,Pass
Risk Profile,Ulcer Index,<10,29.31,Fail
Risk Profile,Max DD Duration (days),<180d,142.00,Pass
Risk Profile,% Time Underwater,<70%,83.96,Fail
Risk Profile,Worst Single Day %,>-10%,-28.42%,Fail
Risk Profile,CVaR 5% (weekly) %,>-20%,-36.56,Fail
Risk Profile,Consecutive Loss Streak,<7d,11,Fail
Risk Profile,Probability of Loss %,<5%,0.34%,Pass
Risk Profile,"Ruin Prob (50% DD, 365d) %",<10%,76.30,Fail
Risk Profile,Tail Ratio,>1.2,2.02,Pass
Risk Profile,Gain-to-Pain Ratio,>1.5,0.30,Fail
Regime Attribution,Sharpe in High Dispersion,>1.5,N/A,N/A
Regime Attribution,Sharpe in Low Dispersion,>0.5,N/A,N/A
Regime Attribution,Sharpe in BTC Uptrend,>1.5,N/A,N/A
Regime Attribution,Sharpe in BTC Downtrend,>0.5,N/A,N/A
Regime Attribution,Sharpe in High BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe in Low BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe HighDisp+HighVol,>2.0,N/A,N/A
Regime Attribution,Sharpe LowDisp+LowVol,>1.0,N/A,N/A
Market Independence,Beta to BTC,<0.5,N/A,N/A
Market Independence,BTC Variance Explained %,<10%,N/A,N/A
Market Independence,Annual Alpha %,>0%,N/A,N/A
Market Independence,Equity Curve R²,>0.9,0.406,Fail
Market Independence,Return Autocorrelation,≈0,0.057,Pass
Execution & Capacity,Sharpe @2× Slippage,>1.5,0.82,Fail
Execution & Capacity,Total Fee Drag %,<5%,13.43%,Fail
Execution & Capacity,Avg Fee Per Active Day %,<0.15%,0.33%,Fail
Execution & Capacity,Avg Fee Per Calendar Day %,<0.05%,0.07%,Fail
Execution & Capacity,Avg Leverage Used,info,3.28×,N/A
Execution & Capacity,Universe Size,>20,Top100,Pass
Execution & Capacity,Active Days %,20–60%,20.85%,Pass
Execution & Capacity,Avg Overlap Symbols/Day,>3,18.8/day,Pass
Execution & Capacity,Data Coverage (days),>365d,398d,Pass
Execution & Capacity,Sample Size,>500d,398d,Fail
