Category,Metric,Institutional Goal,Actual,Status
Return Quality,Sharpe Ratio,>2.0,3.36,Pass
Return Quality,Sortino Ratio,>3.0,10.34,Pass
Return Quality,Calmar Ratio,>3.0,37.74,Pass
Return Quality,CAGR %,>30%,833.27%,Pass
Return Quality,Return / MaxDD,>3x,37.74,Pass
Return Quality,Gross Return %,info,288.75%,N/A
Return Quality,Net Return %,info,272.81%,N/A
Return Quality,CAGR / Total Return (×),info,3.05,N/A
Return Quality,Equity Multiplier (×),info,3.73,N/A
Return Quality,Doubling Periods,info,1.90,N/A
Return Quality,Volatility Drag Ann %,info,27.65,N/A
Return Quality,FA-WF Mean OOS Sharpe,>1.5,3.78,Pass
Return Quality,FA-WF Median OOS Sharpe,>1.0,3.78,Pass
Return Quality,Min OOS Fold Sharpe,>0.5,2.72,Pass
Return Quality,Avg Monthly Return %,>0%,20.04%,Pass
Return Quality,Worst Monthly Return %,>-20%,-8.91%,Pass
Robustness & Validation,FA Walk-Forward CV,<0.25,0.20,Pass
Robustness & Validation,Sharpe Std Dev (WF folds),<1.0,0.760,Pass
Robustness & Validation,FA-WF % Folds Positive,>80%,100.00%,Pass
Robustness & Validation,FA-WF Unstable Folds,0,0,Pass
Robustness & Validation,FA-WF Mean DSR %,>80%,90.26%,Pass
Robustness & Validation,Deflated Sharpe (DSR) %,>95%,99.91%,Pass
Robustness & Validation,PBO %,<30%,27.02,Pass
Robustness & Validation,Performance Degradation,<0.3,0.352,Fail
Robustness & Validation,IS/OOS CAGR Ratio,>0.5,1.454,Pass
Robustness & Validation,Sharpe Decay IS→OOS %,<40%,7.75,Pass
Risk Profile,Max Drawdown %,>-30%,-22.08%,Pass
Risk Profile,Avg Drawdown %,>-15%,-7.49%,Pass
Risk Profile,Avg DD Recovery (days),<90d,12d,Pass
Risk Profile,Ulcer Index,<10,7.19,Pass
Risk Profile,Max DD Duration (days),<180d,39.00,Pass
Risk Profile,% Time Underwater,<70%,64.91,Pass
Risk Profile,Worst Single Day %,>-10%,-11.75%,Fail
Risk Profile,CVaR 5% (weekly) %,>-20%,-15.92,Pass
Risk Profile,Consecutive Loss Streak,<7d,7,Pass
Risk Profile,Probability of Loss %,<5%,0.00%,Pass
Risk Profile,"Ruin Prob (50% DD, 365d) %",<10%,0.45,Pass
Risk Profile,Tail Ratio,>1.2,2.13,Pass
Risk Profile,Gain-to-Pain Ratio,>1.5,1.39,Borderline
Regime Attribution,Sharpe in High Dispersion,>1.5,N/A,N/A
Regime Attribution,Sharpe in Low Dispersion,>0.5,N/A,N/A
Regime Attribution,Sharpe in BTC Uptrend,>1.5,N/A,N/A
Regime Attribution,Sharpe in BTC Downtrend,>0.5,N/A,N/A
Regime Attribution,Sharpe in High BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe in Low BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe HighDisp+HighVol,>2.0,N/A,N/A
Regime Attribution,Sharpe LowDisp+LowVol,>1.0,N/A,N/A
Market Independence,Beta to BTC,<0.5,N/A,N/A
Market Independence,BTC Variance Explained %,<10%,N/A,N/A
Market Independence,Annual Alpha %,>0%,N/A,N/A
Market Independence,Equity Curve R²,>0.9,0.977,Pass
Market Independence,Return Autocorrelation,≈0,-0.062,Pass
Execution & Capacity,Sharpe @2× Slippage,>1.5,3.36,Pass
Execution & Capacity,Total Fee Drag %,<5%,4.28%,Pass
Execution & Capacity,Avg Fee Per Active Day %,<0.15%,0.14%,Pass
Execution & Capacity,Avg Fee Per Calendar Day %,<0.05%,0.04%,Pass
Execution & Capacity,Avg Leverage Used,info,1.37×,N/A
Execution & Capacity,Universe Size,>20,Top100,Pass
Execution & Capacity,Active Days %,20–60%,29.15%,Pass
Execution & Capacity,Avg Overlap Symbols/Day,>3,6.9/day,Pass
Execution & Capacity,Data Coverage (days),>365d,398d,Pass
Execution & Capacity,Sample Size,>500d,398d,Fail
