Category,Metric,Institutional Goal,Actual,Status
Return Quality,Sharpe Ratio,>2.0,0.61,Fail
Return Quality,Sortino Ratio,>3.0,1.57,Fail
Return Quality,Calmar Ratio,>3.0,0.22,Fail
Return Quality,CAGR %,>30%,14.86%,Fail
Return Quality,Return / MaxDD,>3x,0.22,Fail
Return Quality,Gross Return %,info,93.08%,N/A
Return Quality,Net Return %,info,65.47%,N/A
Return Quality,CAGR / Total Return (×),info,0.23,N/A
Return Quality,Equity Multiplier (×),info,1.65,N/A
Return Quality,Doubling Periods,info,0.73,N/A
Return Quality,Volatility Drag Ann %,info,48.14,N/A
Return Quality,FA-WF Mean OOS Sharpe,>1.5,-6.22,Fail
Return Quality,FA-WF Median OOS Sharpe,>1.0,-6.22,Fail
Return Quality,Min OOS Fold Sharpe,>0.5,-6.22,Fail
Return Quality,Avg Monthly Return %,>0%,4.78%,Pass
Return Quality,Worst Monthly Return %,>-20%,-46.04%,Fail
Robustness & Validation,FA Walk-Forward CV,<0.25,N/A,N/A
Robustness & Validation,Sharpe Std Dev (WF folds),<1.0,N/A,N/A
Robustness & Validation,FA-WF % Folds Positive,>80%,0.00%,Fail
Robustness & Validation,FA-WF Unstable Folds,0,1,Fail
Robustness & Validation,FA-WF Mean DSR %,>80%,4.71%,Fail
Robustness & Validation,Deflated Sharpe (DSR) %,>95%,39.80%,Fail
Robustness & Validation,PBO %,<30%,46.56,Fail
Robustness & Validation,Performance Degradation,<0.3,0.768,Fail
Robustness & Validation,IS/OOS CAGR Ratio,>0.5,-3.094,Fail
Robustness & Validation,Sharpe Decay IS→OOS %,<40%,N/A,N/A
Risk Profile,Max Drawdown %,>-30%,-67.77%,Fail
Risk Profile,Avg Drawdown %,>-15%,-28.99%,Fail
Risk Profile,Avg DD Recovery (days),<90d,43d,Pass
Risk Profile,Ulcer Index,<10,32.46,Fail
Risk Profile,Max DD Duration (days),<180d,149.00,Pass
Risk Profile,% Time Underwater,<70%,91.48,Fail
Risk Profile,Worst Single Day %,>-10%,-27.19%,Fail
Risk Profile,CVaR 5% (weekly) %,>-20%,-38.86,Fail
Risk Profile,Consecutive Loss Streak,<7d,7,Pass
Risk Profile,Probability of Loss %,<5%,26.77%,Fail
Risk Profile,"Ruin Prob (50% DD, 365d) %",<10%,69.85,Fail
Risk Profile,Tail Ratio,>1.2,1.51,Pass
Risk Profile,Gain-to-Pain Ratio,>1.5,0.22,Fail
Regime Attribution,Sharpe in High Dispersion,>1.5,N/A,N/A
Regime Attribution,Sharpe in Low Dispersion,>0.5,N/A,N/A
Regime Attribution,Sharpe in BTC Uptrend,>1.5,N/A,N/A
Regime Attribution,Sharpe in BTC Downtrend,>0.5,N/A,N/A
Regime Attribution,Sharpe in High BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe in Low BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe HighDisp+HighVol,>2.0,N/A,N/A
Regime Attribution,Sharpe LowDisp+LowVol,>1.0,N/A,N/A
Market Independence,Beta to BTC,<0.5,N/A,N/A
Market Independence,BTC Variance Explained %,<10%,N/A,N/A
Market Independence,Annual Alpha %,>0%,N/A,N/A
Market Independence,Equity Curve R²,>0.9,0.001,Fail
Market Independence,Return Autocorrelation,≈0,0.147,Fail
Execution & Capacity,Sharpe @2× Slippage,>1.5,0.61,Fail
Execution & Capacity,Total Fee Drag %,<5%,16.69%,Fail
Execution & Capacity,Avg Fee Per Active Day %,<0.15%,0.32%,Fail
Execution & Capacity,Avg Fee Per Calendar Day %,<0.05%,0.07%,Fail
Execution & Capacity,Avg Leverage Used,info,3.25×,N/A
Execution & Capacity,Universe Size,>20,Top100,Pass
Execution & Capacity,Active Days %,20–60%,21.36%,Pass
Execution & Capacity,Avg Overlap Symbols/Day,>3,19.4/day,Pass
Execution & Capacity,Data Coverage (days),>365d,398d,Pass
Execution & Capacity,Sample Size,>500d,398d,Fail
