Category,Metric,Institutional Goal,Actual,Status
Return Quality,Sharpe Ratio,>2.0,2.02,Pass
Return Quality,Sortino Ratio,>3.0,3.19,Pass
Return Quality,Calmar Ratio,>3.0,9.01,Pass
Return Quality,CAGR %,>30%,624.11%,Pass
Return Quality,Return / MaxDD,>3x,9.01,Pass
Return Quality,Gross Return %,info,387.80%,N/A
Return Quality,Net Return %,info,329.80%,N/A
Return Quality,CAGR / Total Return (×),info,1.89,N/A
Return Quality,Equity Multiplier (×),info,4.30,N/A
Return Quality,Doubling Periods,info,2.10,N/A
Return Quality,Volatility Drag Ann %,info,111.87,N/A
Return Quality,FA-WF Mean OOS Sharpe,>1.5,2.85,Pass
Return Quality,FA-WF Median OOS Sharpe,>1.0,2.85,Pass
Return Quality,Min OOS Fold Sharpe,>0.5,-2.72,Fail
Return Quality,Avg Monthly Return %,>0%,25.55%,Pass
Return Quality,Worst Monthly Return %,>-20%,-35.86%,Fail
Robustness & Validation,FA Walk-Forward CV,<0.25,1.09,Fail
Robustness & Validation,Sharpe Std Dev (WF folds),<1.0,3.087,Fail
Robustness & Validation,FA-WF % Folds Positive,>80%,77.78%,Borderline
Robustness & Validation,FA-WF Unstable Folds,0,2,Fail
Robustness & Validation,FA-WF Mean DSR %,>80%,76.08%,Borderline
Robustness & Validation,Deflated Sharpe (DSR) %,>95%,90.58%,Borderline
Robustness & Validation,PBO %,<30%,N/A,N/A
Robustness & Validation,Performance Degradation,<0.3,N/A,N/A
Robustness & Validation,IS/OOS CAGR Ratio,>0.5,0.872,Pass
Robustness & Validation,Sharpe Decay IS→OOS %,<40%,10.14,Pass
Risk Profile,Max Drawdown %,>-30%,-69.27%,Fail
Risk Profile,Avg Drawdown %,>-15%,-27.95%,Fail
Risk Profile,Avg DD Recovery (days),<90d,13d,Pass
Risk Profile,Ulcer Index,<10,31.98,Fail
Risk Profile,Max DD Duration (days),<180d,131.00,Pass
Risk Profile,% Time Underwater,<70%,92.73,Fail
Risk Profile,Worst Single Day %,>-10%,-12.20%,Fail
Risk Profile,CVaR 5% (weekly) %,>-20%,-31.99,Fail
Risk Profile,Consecutive Loss Streak,<7d,12,Fail
Risk Profile,Probability of Loss %,<5%,N/A,N/A
Risk Profile,"Ruin Prob (50% DD, 365d) %",<10%,83.60,Fail
Risk Profile,Tail Ratio,>1.2,2.18,Pass
Risk Profile,Gain-to-Pain Ratio,>1.5,0.35,Fail
Regime Attribution,Sharpe in High Dispersion,>1.5,N/A,N/A
Regime Attribution,Sharpe in Low Dispersion,>0.5,N/A,N/A
Regime Attribution,Sharpe in BTC Uptrend,>1.5,N/A,N/A
Regime Attribution,Sharpe in BTC Downtrend,>0.5,N/A,N/A
Regime Attribution,Sharpe in High BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe in Low BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe HighDisp+HighVol,>2.0,N/A,N/A
Regime Attribution,Sharpe LowDisp+LowVol,>1.0,N/A,N/A
Market Independence,Beta to BTC,<0.5,N/A,N/A
Market Independence,BTC Variance Explained %,<10%,N/A,N/A
Market Independence,Annual Alpha %,>0%,N/A,N/A
Market Independence,Equity Curve R²,>0.9,0.833,Borderline
Market Independence,Return Autocorrelation,≈0,0.082,Pass
Execution & Capacity,Sharpe @2× Slippage,>1.5,2.02,Pass
Execution & Capacity,Total Fee Drag %,<5%,13.49%,Fail
Execution & Capacity,Avg Fee Per Active Day %,<0.15%,0.15%,Pass
Execution & Capacity,Avg Fee Per Calendar Day %,<0.05%,0.15%,Fail
Execution & Capacity,Avg Leverage Used,info,1.46×,N/A
Execution & Capacity,Universe Size,>20,Top100,Pass
Execution & Capacity,Active Days %,20–60%,100.00%,Pass
Execution & Capacity,Avg Overlap Symbols/Day,>3,6.9/day,Pass
Execution & Capacity,Data Coverage (days),>365d,398d,Pass
Execution & Capacity,Sample Size,>500d,398d,Fail
