L_HIGH,Sharpe,CAGR%,MaxDD%,Flat_days,IS_Sharpe,OOS_Sharpe,Decay%,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable,Fold5_Sharpe,Fold8_Sharpe
0.8,3.755,384.6,-12.36,291,3.755,,,0.493,3.982,88.9,1,4.035,6.683
0.9,3.768,502.1,-13.83,291,3.768,,,0.48,3.987,100.0,0,4.064,6.576
1.0,3.774,650.9,-15.28,291,3.774,,,0.465,3.99,100.0,0,4.065,6.47
1.1,3.779,843.0,-16.71,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
1.2,3.779,1034.2,-18.12,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
1.3,3.779,1260.1,-19.52,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
1.4,3.779,1526.0,-20.9,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
1.5,3.779,1838.2,-22.26,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
1.6,3.779,2203.6,-23.61,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
1.7,3.779,2629.9,-24.94,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
1.8,3.779,3125.9,-26.25,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
1.9,3.779,3701.1,-27.55,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.0,3.779,4366.4,-28.83,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.1,3.779,5133.6,-30.09,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.2,3.779,6015.7,-31.34,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.3,3.779,7026.9,-32.57,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.4,3.779,8183.0,-33.79,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.5,3.779,9500.9,-34.99,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.6,3.779,10998.9,-36.18,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.7,3.779,12697.0,-37.35,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.8,3.779,14616.4,-38.51,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
2.9,3.779,16779.9,-39.65,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
3.0,3.779,19211.7,-40.78,291,3.779,,,0.452,4.0,100.0,0,4.066,6.382
