Category,Metric,Institutional Goal,Actual,Status
Return Quality,Sharpe Ratio,>2.0,0.81,Fail
Return Quality,Sortino Ratio,>3.0,2.43,Fail
Return Quality,Calmar Ratio,>3.0,0.72,Fail
Return Quality,CAGR %,>30%,40.01%,Pass
Return Quality,Return / MaxDD,>3x,0.75,Fail
Return Quality,Gross Return %,info,82.80%,N/A
Return Quality,Net Return %,info,64.54%,N/A
Return Quality,CAGR / Total Return (×),info,0.62,N/A
Return Quality,Equity Multiplier (×),info,1.65,N/A
Return Quality,Doubling Periods,info,0.72,N/A
Return Quality,Volatility Drag Ann %,info,26.87,N/A
Return Quality,FA-WF Mean OOS Sharpe,>1.5,7.84,Pass
Return Quality,FA-WF Median OOS Sharpe,>1.0,7.84,Pass
Return Quality,Min OOS Fold Sharpe,>0.5,7.84,Pass
Return Quality,Avg Monthly Return %,>0%,5.02%,Pass
Return Quality,Worst Monthly Return %,>-20%,-38.44%,Fail
Robustness & Validation,FA Walk-Forward CV,<0.25,N/A,N/A
Robustness & Validation,Sharpe Std Dev (WF folds),<1.0,N/A,N/A
Robustness & Validation,FA-WF % Folds Positive,>80%,100.00%,Pass
Robustness & Validation,FA-WF Unstable Folds,0,0,Pass
Robustness & Validation,FA-WF Mean DSR %,>80%,100.00%,Pass
Robustness & Validation,Deflated Sharpe (DSR) %,>95%,48.02%,Fail
Robustness & Validation,PBO %,<30%,10.66,Pass
Robustness & Validation,Performance Degradation,<0.3,0.228,Pass
Robustness & Validation,IS/OOS CAGR Ratio,>0.5,-5.735,Fail
Robustness & Validation,Sharpe Decay IS→OOS %,<40%,N/A,N/A
Risk Profile,Max Drawdown %,>-30%,-53.07%,Fail
Risk Profile,Avg Drawdown %,>-15%,-22.25%,Fail
Risk Profile,Avg DD Recovery (days),<90d,84d,Pass
Risk Profile,Ulcer Index,<10,25.21,Fail
Risk Profile,Max DD Duration (days),<180d,217.00,Fail
Risk Profile,% Time Underwater,<70%,84.46,Fail
Risk Profile,Worst Single Day %,>-10%,-14.21%,Fail
Risk Profile,CVaR 5% (weekly) %,>-20%,-22.37,Fail
Risk Profile,Consecutive Loss Streak,<7d,11,Fail
Risk Profile,Probability of Loss %,<5%,8.50%,Fail
Risk Profile,"Ruin Prob (50% DD, 365d) %",<10%,37.05,Fail
Risk Profile,Tail Ratio,>1.2,1.83,Pass
Risk Profile,Gain-to-Pain Ratio,>1.5,0.28,Fail
Regime Attribution,Sharpe in High Dispersion,>1.5,N/A,N/A
Regime Attribution,Sharpe in Low Dispersion,>0.5,N/A,N/A
Regime Attribution,Sharpe in BTC Uptrend,>1.5,N/A,N/A
Regime Attribution,Sharpe in BTC Downtrend,>0.5,N/A,N/A
Regime Attribution,Sharpe in High BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe in Low BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe HighDisp+HighVol,>2.0,N/A,N/A
Regime Attribution,Sharpe LowDisp+LowVol,>1.0,N/A,N/A
Market Independence,Beta to BTC,<0.5,N/A,N/A
Market Independence,BTC Variance Explained %,<10%,N/A,N/A
Market Independence,Annual Alpha %,>0%,N/A,N/A
Market Independence,Equity Curve R²,>0.9,0.527,Fail
Market Independence,Return Autocorrelation,≈0,0.093,Pass
Execution & Capacity,Sharpe @2× Slippage,>1.5,0.80,Fail
Execution & Capacity,Total Fee Drag %,<5%,11.10%,Fail
Execution & Capacity,Avg Fee Per Active Day %,<0.15%,0.22%,Fail
Execution & Capacity,Avg Fee Per Calendar Day %,<0.05%,0.05%,Pass
Execution & Capacity,Avg Leverage Used,info,2.20×,N/A
Execution & Capacity,Universe Size,>20,Top100,Pass
Execution & Capacity,Active Days %,20–60%,20.85%,Pass
Execution & Capacity,Avg Overlap Symbols/Day,>3,18.8/day,Pass
Execution & Capacity,Data Coverage (days),>365d,398d,Pass
Execution & Capacity,Sample Size,>500d,398d,Fail
