Category,Metric,Institutional Goal,Actual,Status
Return Quality,Sharpe Ratio,>2.0,2.79,Pass
Return Quality,Sortino Ratio,>3.0,7.11,Pass
Return Quality,Calmar Ratio,>3.0,33.13,Pass
Return Quality,CAGR %,>30%,1317.37%,Pass
Return Quality,Return / MaxDD,>3x,33.13,Pass
Return Quality,Gross Return %,info,387.55%,N/A
Return Quality,Net Return %,info,363.79%,N/A
Return Quality,CAGR / Total Return (×),info,3.62,N/A
Return Quality,Equity Multiplier (×),info,4.64,N/A
Return Quality,Doubling Periods,info,2.21,N/A
Return Quality,Volatility Drag Ann %,info,71.51,N/A
Return Quality,FA-WF Mean OOS Sharpe,>1.5,3.51,Pass
Return Quality,FA-WF Median OOS Sharpe,>1.0,3.51,Pass
Return Quality,Min OOS Fold Sharpe,>0.5,1.46,Pass
Return Quality,Avg Monthly Return %,>0%,24.91%,Pass
Return Quality,Worst Monthly Return %,>-20%,-13.41%,Pass
Robustness & Validation,FA Walk-Forward CV,<0.25,0.82,Fail
Robustness & Validation,Sharpe Std Dev (WF folds),<1.0,2.893,Fail
Robustness & Validation,FA-WF % Folds Positive,>80%,100.00%,Pass
Robustness & Validation,FA-WF Unstable Folds,0,0,Pass
Robustness & Validation,FA-WF Mean DSR %,>80%,82.30%,Pass
Robustness & Validation,Deflated Sharpe (DSR) %,>95%,98.66%,Pass
Robustness & Validation,PBO %,<30%,29.40,Pass
Robustness & Validation,Performance Degradation,<0.3,0.431,Fail
Robustness & Validation,IS/OOS CAGR Ratio,>0.5,0.383,Fail
Robustness & Validation,Sharpe Decay IS→OOS %,<40%,26.70,Pass
Risk Profile,Max Drawdown %,>-30%,-39.76%,Fail
Risk Profile,Avg Drawdown %,>-15%,-16.58%,Fail
Risk Profile,Avg DD Recovery (days),<90d,27d,Pass
Risk Profile,Ulcer Index,<10,16.29,Fail
Risk Profile,Max DD Duration (days),<180d,99.00,Pass
Risk Profile,% Time Underwater,<70%,73.68,Borderline
Risk Profile,Worst Single Day %,>-10%,-15.94%,Fail
Risk Profile,CVaR 5% (weekly) %,>-20%,-18.51,Pass
Risk Profile,Consecutive Loss Streak,<7d,5,Pass
Risk Profile,Probability of Loss %,<5%,0.13%,Pass
Risk Profile,"Ruin Prob (50% DD, 365d) %",<10%,31.20,Fail
Risk Profile,Tail Ratio,>1.2,1.53,Pass
Risk Profile,Gain-to-Pain Ratio,>1.5,0.99,Fail
Regime Attribution,Sharpe in High Dispersion,>1.5,N/A,N/A
Regime Attribution,Sharpe in Low Dispersion,>0.5,N/A,N/A
Regime Attribution,Sharpe in BTC Uptrend,>1.5,N/A,N/A
Regime Attribution,Sharpe in BTC Downtrend,>0.5,N/A,N/A
Regime Attribution,Sharpe in High BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe in Low BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe HighDisp+HighVol,>2.0,N/A,N/A
Regime Attribution,Sharpe LowDisp+LowVol,>1.0,N/A,N/A
Market Independence,Beta to BTC,<0.5,N/A,N/A
Market Independence,BTC Variance Explained %,<10%,N/A,N/A
Market Independence,Annual Alpha %,>0%,N/A,N/A
Market Independence,Equity Curve R²,>0.9,0.926,Pass
Market Independence,Return Autocorrelation,≈0,-0.084,Pass
Execution & Capacity,Sharpe @2× Slippage,>1.5,2.79,Pass
Execution & Capacity,Total Fee Drag %,<5%,5.12%,Borderline
Execution & Capacity,Avg Fee Per Active Day %,<0.15%,0.22%,Fail
Execution & Capacity,Avg Fee Per Calendar Day %,<0.05%,0.06%,Fail
Execution & Capacity,Avg Leverage Used,info,2.20×,N/A
Execution & Capacity,Universe Size,>20,Top100,Pass
Execution & Capacity,Active Days %,20–60%,27.14%,Pass
Execution & Capacity,Avg Overlap Symbols/Day,>3,6.9/day,Pass
Execution & Capacity,Data Coverage (days),>365d,398d,Pass
Execution & Capacity,Sample Size,>500d,398d,Fail
