Category,Metric,Institutional Goal,Actual,Status
Return Quality,Sharpe Ratio,>2.0,3.86,Pass
Return Quality,Sortino Ratio,>3.0,13.34,Pass
Return Quality,Calmar Ratio,>3.0,213.69,Pass
Return Quality,CAGR %,>30%,7005.51%,Pass
Return Quality,Return / MaxDD,>3x,213.69,Pass
Return Quality,Gross Return %,info,577.73%,N/A
Return Quality,Net Return %,info,551.97%,N/A
Return Quality,CAGR / Total Return (×),info,12.69,N/A
Return Quality,Equity Multiplier (×),info,6.52,N/A
Return Quality,Doubling Periods,info,2.70,N/A
Return Quality,Volatility Drag Ann %,info,86.05,N/A
Return Quality,FA-WF Mean OOS Sharpe,>1.5,3.20,Pass
Return Quality,FA-WF Median OOS Sharpe,>1.0,3.20,Pass
Return Quality,Min OOS Fold Sharpe,>0.5,1.85,Pass
Return Quality,Avg Monthly Return %,>0%,40.96%,Pass
Return Quality,Worst Monthly Return %,>-20%,7.95%,Pass
Robustness & Validation,FA Walk-Forward CV,<0.25,0.60,Fail
Robustness & Validation,Sharpe Std Dev (WF folds),<1.0,1.903,Fail
Robustness & Validation,FA-WF % Folds Positive,>80%,100.00%,Pass
Robustness & Validation,FA-WF Unstable Folds,0,0,Pass
Robustness & Validation,FA-WF Mean DSR %,>80%,83.75%,Pass
Robustness & Validation,Deflated Sharpe (DSR) %,>95%,99.87%,Pass
Robustness & Validation,PBO %,<30%,26.84,Pass
Robustness & Validation,Performance Degradation,<0.3,0.410,Fail
Robustness & Validation,IS/OOS CAGR Ratio,>0.5,2.245,Pass
Robustness & Validation,Sharpe Decay IS→OOS %,<40%,0.06,Pass
Risk Profile,Max Drawdown %,>-30%,-32.78%,Fail
Risk Profile,Avg Drawdown %,>-15%,-10.36%,Pass
Risk Profile,Avg DD Recovery (days),<90d,14d,Pass
Risk Profile,Ulcer Index,<10,9.21,Pass
Risk Profile,Max DD Duration (days),<180d,45.00,Pass
Risk Profile,% Time Underwater,<70%,59.65,Pass
Risk Profile,Worst Single Day %,>-10%,-15.27%,Fail
Risk Profile,CVaR 5% (weekly) %,>-20%,-12.79,Pass
Risk Profile,Consecutive Loss Streak,<7d,4,Pass
Risk Profile,Probability of Loss %,<5%,0.00%,Pass
Risk Profile,"Ruin Prob (50% DD, 365d) %",<10%,8.25,Pass
Risk Profile,Tail Ratio,>1.2,1.82,Pass
Risk Profile,Gain-to-Pain Ratio,>1.5,2.01,Pass
Regime Attribution,Sharpe in High Dispersion,>1.5,N/A,N/A
Regime Attribution,Sharpe in Low Dispersion,>0.5,N/A,N/A
Regime Attribution,Sharpe in BTC Uptrend,>1.5,N/A,N/A
Regime Attribution,Sharpe in BTC Downtrend,>0.5,N/A,N/A
Regime Attribution,Sharpe in High BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe in Low BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe HighDisp+HighVol,>2.0,N/A,N/A
Regime Attribution,Sharpe LowDisp+LowVol,>1.0,N/A,N/A
Market Independence,Beta to BTC,<0.5,N/A,N/A
Market Independence,BTC Variance Explained %,<10%,N/A,N/A
Market Independence,Annual Alpha %,>0%,N/A,N/A
Market Independence,Equity Curve R²,>0.9,0.984,Pass
Market Independence,Return Autocorrelation,≈0,-0.114,Borderline
Execution & Capacity,Sharpe @2× Slippage,>1.5,3.86,Pass
Execution & Capacity,Total Fee Drag %,<5%,3.95%,Pass
Execution & Capacity,Avg Fee Per Active Day %,<0.15%,0.25%,Fail
Execution & Capacity,Avg Fee Per Calendar Day %,<0.05%,0.06%,Fail
Execution & Capacity,Avg Leverage Used,info,2.53×,N/A
Execution & Capacity,Universe Size,>20,Top100,Pass
Execution & Capacity,Active Days %,20–60%,25.63%,Pass
Execution & Capacity,Avg Overlap Symbols/Day,>3,6.9/day,Pass
Execution & Capacity,Data Coverage (days),>365d,398d,Pass
Execution & Capacity,Sample Size,>500d,398d,Fail
