Category,Metric,Institutional Goal,Actual,Status
Return Quality,Sharpe Ratio,>2.0,3.18,Pass
Return Quality,Sortino Ratio,>3.0,9.10,Pass
Return Quality,Calmar Ratio,>3.0,86.89,Pass
Return Quality,CAGR %,>30%,4183.79%,Pass
Return Quality,Return / MaxDD,>3x,86.89,Pass
Return Quality,Gross Return %,info,554.81%,N/A
Return Quality,Net Return %,info,526.56%,N/A
Return Quality,CAGR / Total Return (×),info,7.95,N/A
Return Quality,Equity Multiplier (×),info,6.27,N/A
Return Quality,Doubling Periods,info,2.65,N/A
Return Quality,Volatility Drag Ann %,info,115.47,N/A
Return Quality,FA-WF Mean OOS Sharpe,>1.5,3.88,Pass
Return Quality,FA-WF Median OOS Sharpe,>1.0,3.88,Pass
Return Quality,Min OOS Fold Sharpe,>0.5,2.19,Pass
Return Quality,Avg Monthly Return %,>0%,36.32%,Pass
Return Quality,Worst Monthly Return %,>-20%,-4.04%,Pass
Robustness & Validation,FA Walk-Forward CV,<0.25,0.62,Fail
Robustness & Validation,Sharpe Std Dev (WF folds),<1.0,2.387,Fail
Robustness & Validation,FA-WF % Folds Positive,>80%,100.00%,Pass
Robustness & Validation,FA-WF Unstable Folds,0,0,Pass
Robustness & Validation,FA-WF Mean DSR %,>80%,86.20%,Pass
Robustness & Validation,Deflated Sharpe (DSR) %,>95%,99.75%,Pass
Robustness & Validation,PBO %,<30%,25.15,Pass
Robustness & Validation,Performance Degradation,<0.3,0.348,Fail
Robustness & Validation,IS/OOS CAGR Ratio,>0.5,1.379,Pass
Robustness & Validation,Sharpe Decay IS→OOS %,<40%,9.97,Pass
Risk Profile,Max Drawdown %,>-30%,-48.15%,Fail
Risk Profile,Avg Drawdown %,>-15%,-15.41%,Fail
Risk Profile,Avg DD Recovery (days),<90d,16d,Pass
Risk Profile,Ulcer Index,<10,13.88,Fail
Risk Profile,Max DD Duration (days),<180d,44.00,Pass
Risk Profile,% Time Underwater,<70%,62.91,Pass
Risk Profile,Worst Single Day %,>-10%,-25.52%,Fail
Risk Profile,CVaR 5% (weekly) %,>-20%,-18.51,Pass
Risk Profile,Consecutive Loss Streak,<7d,5,Pass
Risk Profile,Probability of Loss %,<5%,0.03%,Pass
Risk Profile,"Ruin Prob (50% DD, 365d) %",<10%,42.50,Fail
Risk Profile,Tail Ratio,>1.2,1.94,Pass
Risk Profile,Gain-to-Pain Ratio,>1.5,1.30,Borderline
Regime Attribution,Sharpe in High Dispersion,>1.5,N/A,N/A
Regime Attribution,Sharpe in Low Dispersion,>0.5,N/A,N/A
Regime Attribution,Sharpe in BTC Uptrend,>1.5,N/A,N/A
Regime Attribution,Sharpe in BTC Downtrend,>0.5,N/A,N/A
Regime Attribution,Sharpe in High BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe in Low BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe HighDisp+HighVol,>2.0,N/A,N/A
Regime Attribution,Sharpe LowDisp+LowVol,>1.0,N/A,N/A
Market Independence,Beta to BTC,<0.5,N/A,N/A
Market Independence,BTC Variance Explained %,<10%,N/A,N/A
Market Independence,Annual Alpha %,>0%,N/A,N/A
Market Independence,Equity Curve R²,>0.9,0.978,Pass
Market Independence,Return Autocorrelation,≈0,-0.163,Fail
Execution & Capacity,Sharpe @2× Slippage,>1.5,3.18,Pass
Execution & Capacity,Total Fee Drag %,<5%,4.51%,Pass
Execution & Capacity,Avg Fee Per Active Day %,<0.15%,0.26%,Fail
Execution & Capacity,Avg Fee Per Calendar Day %,<0.05%,0.07%,Fail
Execution & Capacity,Avg Leverage Used,info,2.62×,N/A
Execution & Capacity,Universe Size,>20,Top100,Pass
Execution & Capacity,Active Days %,20–60%,27.14%,Pass
Execution & Capacity,Avg Overlap Symbols/Day,>3,6.9/day,Pass
Execution & Capacity,Data Coverage (days),>365d,398d,Pass
Execution & Capacity,Sample Size,>500d,398d,Fail
