Category,Metric,Institutional Goal,Actual,Status
Return Quality,Sharpe Ratio,>2.0,1.95,Borderline
Return Quality,Sortino Ratio,>3.0,3.49,Pass
Return Quality,Calmar Ratio,>3.0,7.23,Pass
Return Quality,CAGR %,>30%,496.27%,Pass
Return Quality,Return / MaxDD,>3x,7.23,Pass
Return Quality,Gross Return %,info,333.20%,N/A
Return Quality,Net Return %,info,286.27%,N/A
Return Quality,CAGR / Total Return (×),info,1.73,N/A
Return Quality,Equity Multiplier (×),info,3.86,N/A
Return Quality,Doubling Periods,info,1.95,N/A
Return Quality,Volatility Drag Ann %,info,91.05,N/A
Return Quality,FA-WF Mean OOS Sharpe,>1.5,2.81,Pass
Return Quality,FA-WF Median OOS Sharpe,>1.0,2.81,Pass
Return Quality,Min OOS Fold Sharpe,>0.5,-3.11,Fail
Return Quality,Avg Monthly Return %,>0%,20.61%,Pass
Return Quality,Worst Monthly Return %,>-20%,-33.72%,Fail
Robustness & Validation,FA Walk-Forward CV,<0.25,1.01,Fail
Robustness & Validation,Sharpe Std Dev (WF folds),<1.0,2.834,Fail
Robustness & Validation,FA-WF % Folds Positive,>80%,88.89%,Pass
Robustness & Validation,FA-WF Unstable Folds,0,1,Fail
Robustness & Validation,FA-WF Mean DSR %,>80%,78.08%,Borderline
Robustness & Validation,Deflated Sharpe (DSR) %,>95%,89.58%,Borderline
Robustness & Validation,PBO %,<30%,3.37,Pass
Robustness & Validation,Performance Degradation,<0.3,0.123,Pass
Robustness & Validation,IS/OOS CAGR Ratio,>0.5,0.294,Fail
Robustness & Validation,Sharpe Decay IS→OOS %,<40%,29.98,Pass
Risk Profile,Max Drawdown %,>-30%,-68.68%,Fail
Risk Profile,Avg Drawdown %,>-15%,-23.32%,Fail
Risk Profile,Avg DD Recovery (days),<90d,17d,Pass
Risk Profile,Ulcer Index,<10,28.42,Fail
Risk Profile,Max DD Duration (days),<180d,118.00,Pass
Risk Profile,% Time Underwater,<70%,90.98,Fail
Risk Profile,Worst Single Day %,>-10%,-12.20%,Fail
Risk Profile,CVaR 5% (weekly) %,>-20%,-31.99,Fail
Risk Profile,Consecutive Loss Streak,<7d,12,Fail
Risk Profile,Probability of Loss %,<5%,1.90%,Pass
Risk Profile,"Ruin Prob (50% DD, 365d) %",<10%,70.10,Fail
Risk Profile,Tail Ratio,>1.2,2.12,Pass
Risk Profile,Gain-to-Pain Ratio,>1.5,0.39,Fail
Regime Attribution,Sharpe in High Dispersion,>1.5,N/A,N/A
Regime Attribution,Sharpe in Low Dispersion,>0.5,N/A,N/A
Regime Attribution,Sharpe in BTC Uptrend,>1.5,N/A,N/A
Regime Attribution,Sharpe in BTC Downtrend,>0.5,N/A,N/A
Regime Attribution,Sharpe in High BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe in Low BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe HighDisp+HighVol,>2.0,N/A,N/A
Regime Attribution,Sharpe LowDisp+LowVol,>1.0,N/A,N/A
Market Independence,Beta to BTC,<0.5,N/A,N/A
Market Independence,BTC Variance Explained %,<10%,N/A,N/A
Market Independence,Annual Alpha %,>0%,N/A,N/A
Market Independence,Equity Curve R²,>0.9,0.809,Borderline
Market Independence,Return Autocorrelation,≈0,0.052,Pass
Execution & Capacity,Sharpe @2× Slippage,>1.5,1.94,Pass
Execution & Capacity,Total Fee Drag %,<5%,12.15%,Fail
Execution & Capacity,Avg Fee Per Active Day %,<0.15%,0.14%,Pass
Execution & Capacity,Avg Fee Per Calendar Day %,<0.05%,0.12%,Fail
Execution & Capacity,Avg Leverage Used,info,1.41×,N/A
Execution & Capacity,Universe Size,>20,Top100,Pass
Execution & Capacity,Active Days %,20–60%,83.92%,Pass
Execution & Capacity,Avg Overlap Symbols/Day,>3,6.9/day,Pass
Execution & Capacity,Data Coverage (days),>365d,398d,Pass
Execution & Capacity,Sample Size,>500d,398d,Fail
