Category,Metric,Institutional Goal,Actual,Status
Return Quality,Sharpe Ratio,>2.0,1.55,Fail
Return Quality,Sortino Ratio,>3.0,2.32,Fail
Return Quality,Calmar Ratio,>3.0,3.32,Pass
Return Quality,CAGR %,>30%,249.98%,Pass
Return Quality,Return / MaxDD,>3x,3.32,Pass
Return Quality,Gross Return %,info,312.47%,N/A
Return Quality,Net Return %,info,256.92%,N/A
Return Quality,CAGR / Total Return (×),info,0.97,N/A
Return Quality,Equity Multiplier (×),info,3.57,N/A
Return Quality,Doubling Periods,info,1.84,N/A
Return Quality,Volatility Drag Ann %,info,114.91,N/A
Return Quality,FA-WF Mean OOS Sharpe,>1.5,2.06,Pass
Return Quality,FA-WF Median OOS Sharpe,>1.0,2.06,Pass
Return Quality,Min OOS Fold Sharpe,>0.5,-8.11,Fail
Return Quality,Avg Monthly Return %,>0%,17.07%,Pass
Return Quality,Worst Monthly Return %,>-20%,-60.96%,Fail
Robustness & Validation,FA Walk-Forward CV,<0.25,2.22,Fail
Robustness & Validation,Sharpe Std Dev (WF folds),<1.0,4.574,Fail
Robustness & Validation,FA-WF % Folds Positive,>80%,77.78%,Borderline
Robustness & Validation,FA-WF Unstable Folds,0,2,Fail
Robustness & Validation,FA-WF Mean DSR %,>80%,71.55%,Borderline
Robustness & Validation,Deflated Sharpe (DSR) %,>95%,77.52%,Fail
Robustness & Validation,PBO %,<30%,17.61,Pass
Robustness & Validation,Performance Degradation,<0.3,0.702,Fail
Robustness & Validation,IS/OOS CAGR Ratio,>0.5,0.042,Fail
Robustness & Validation,Sharpe Decay IS→OOS %,<40%,56.89,Fail
Risk Profile,Max Drawdown %,>-30%,-75.30%,Fail
Risk Profile,Avg Drawdown %,>-15%,-34.28%,Fail
Risk Profile,Avg DD Recovery (days),<90d,12d,Pass
Risk Profile,Ulcer Index,<10,39.66,Fail
Risk Profile,Max DD Duration (days),<180d,134.00,Pass
Risk Profile,% Time Underwater,<70%,89.72,Fail
Risk Profile,Worst Single Day %,>-10%,-19.36%,Fail
Risk Profile,CVaR 5% (weekly) %,>-20%,-51.32,Fail
Risk Profile,Consecutive Loss Streak,<7d,13,Fail
Risk Profile,Probability of Loss %,<5%,11.62%,Fail
Risk Profile,"Ruin Prob (50% DD, 365d) %",<10%,92.60,Fail
Risk Profile,Tail Ratio,>1.2,1.62,Pass
Risk Profile,Gain-to-Pain Ratio,>1.5,0.27,Fail
Regime Attribution,Sharpe in High Dispersion,>1.5,N/A,N/A
Regime Attribution,Sharpe in Low Dispersion,>0.5,N/A,N/A
Regime Attribution,Sharpe in BTC Uptrend,>1.5,N/A,N/A
Regime Attribution,Sharpe in BTC Downtrend,>0.5,N/A,N/A
Regime Attribution,Sharpe in High BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe in Low BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe HighDisp+HighVol,>2.0,N/A,N/A
Regime Attribution,Sharpe LowDisp+LowVol,>1.0,N/A,N/A
Market Independence,Beta to BTC,<0.5,N/A,N/A
Market Independence,BTC Variance Explained %,<10%,N/A,N/A
Market Independence,Annual Alpha %,>0%,N/A,N/A
Market Independence,Equity Curve R²,>0.9,0.561,Fail
Market Independence,Return Autocorrelation,≈0,0.063,Pass
Execution & Capacity,Sharpe @2× Slippage,>1.5,1.55,Pass
Execution & Capacity,Total Fee Drag %,<5%,15.57%,Fail
Execution & Capacity,Avg Fee Per Active Day %,<0.15%,0.18%,Fail
Execution & Capacity,Avg Fee Per Calendar Day %,<0.05%,0.14%,Fail
Execution & Capacity,Avg Leverage Used,info,1.80×,N/A
Execution & Capacity,Universe Size,>20,Top100,Pass
Execution & Capacity,Active Days %,20–60%,77.39%,Pass
Execution & Capacity,Avg Overlap Symbols/Day,>3,6.9/day,Pass
Execution & Capacity,Data Coverage (days),>365d,398d,Pass
Execution & Capacity,Sample Size,>500d,398d,Fail
